movie_id,movie_cd,title,release_date,poster_image_url,kinolights_url,priority_reason
713,20256757,극장판 체인소 맨: 레제편,2025-09-24,https://www.kobis.or.kr/common/mast/movie/2025/10/8279675e83074e7b913797004d505908.jpg,,RECOMMENDED
286,20126469,브레이킹 던 part2,2012-11-15,https://www.kobis.or.kr/common/mast/movie/2012/12/b6dd217357494ef98b11dc762c9d504d.jpg,,RECOMMENDED
379,20154141,스타워즈: 깨어난 포스,2015-12-17,https://www.kobis.or.kr/common/mast/movie/2015/12/c125421404224aff8b583346d7b94fbb.jpg,,RECOMMENDED
437,20170443,스타워즈: 라스트 제다이,2017-12-14,https://www.kobis.or.kr/common/mast/movie/2017/12/bfff2602a236461f8ea583cd89640700.jpg,,RECOMMENDED
234,20112542,틴틴 : 유니콘호의 비밀,2011-12-07,https://www.kobis.or.kr/common/mast/movie/2011/12/923f4dd19420419982393ec1f894962a.jpg,,RECOMMENDED
238,20112621,셜록홈즈 : 그림자 게임,2011-12-21,https://www.kobis.or.kr/common/mast/movie/2011/12/25f8a200dcc74543b04158cc468a9da0.jpg,,RECOMMENDED
153,20090284,코렐라인,2009-05-21,https://www.kobis.or.kr/common/mast/movie/2025/09/a76379849a3b4defa60ad627ed04a678.jpg,,RECOMMENDED
451,20174965,극장판 포켓몬스터 너로 정했다!,2017-12-21,https://www.kobis.or.kr/common/mast/movie/2017/12/8cbf2dbad8104cfdb4fc9a6b20c15189.jpg,,RECOMMENDED
266,20123161,늑대소년-확장판,2012-12-06,https://www.kobis.or.kr/common/mast/movie/2012/12/a9d649961b054177b67e9d8ea2335e19.jpg,,RECOMMENDED
657,20234673,뽀로로 극장판 슈퍼스타 대모험,2023-12-08,https://image.tmdb.org/t/p/w500/mjreCL6fyvn0sHyyiZ9Q7WNoS5z.jpg,,RECOMMENDED
640,20228640,신비아파트 극장판 차원도깨비와 7개의 세계,2022-12-14,https://image.tmdb.org/t/p/w500/6kmwf97SrbO9AspCaBT4YZ3TDiA.jpg,,RECOMMENDED
1,20010291,해리포터와 마법사의 돌,2001-12-13,https://www.kobis.or.kr/common/mast/movie/2021/09/ce93de4eeb7342a288620248e4df3327.jpg,,RECOMMENDED
182,20090860,포켓 몬스터 DP: 아르세우스 초극의 시공으로,2009-12-24,https://www.kobis.or.kr/common/mast/movie/2023/06/d2949354a8b54605b5083e07cb0a1f96.png,,RECOMMENDED
414,20162183,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,2016-12-22,https://www.kobis.or.kr/common/mast/movie/2016/12/95dd7aee9f3a48e89d42d080023c1dc1.jpg,,RECOMMENDED
551,20199981,눈의 여왕4,2019-12-24,https://www.kobis.or.kr/common/mast/movie/2019/12/55317ecf1c16491883b120203815e9a6.jpg,,RECOMMENDED
387,20155423,시카리오: 암살자의 도시,2015-12-03,https://www.kobis.or.kr/common/mast/movie/2015/11/b90cb14e2d744d6d8c26617f7ffb70cd.jpg,,RECOMMENDED
402,20157883,극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE,2015-11-26,https://www.kobis.or.kr/common/mast/movie/2015/10/549e178b68b54d7499423d02a2145445.jpg,,RECOMMENDED
665,20235290,도티와 영원의 탑,2023-12-27,https://image.tmdb.org/t/p/w500/yLbrh6AuciSvsnHZidMT30qktZ9.jpg,,RECOMMENDED
691,20246361,뽀로로 극장판 바닷속 대모험,2025-01-01,https://image.tmdb.org/t/p/w500/nMhGav6ZfaBOt7f6CBrJjZ0EVdk.jpg,,RECOMMENDED
1140,TMDB-274,양들의 침묵,1991-02-14,https://image.tmdb.org/t/p/w500/hOr56UKAsB9waNDHhriOntCjHTJ.jpg,,TAGGED
1527,TMDB-277834,모아나,2016-10-13,https://image.tmdb.org/t/p/w500/lizPdJnczPpusX8e1vbpeFSsese.jpg,,TAGGED
2059,TMDB-49538,엑스맨: 퍼스트 클래스,2011-06-01,https://image.tmdb.org/t/p/w500/644Dl5TOvx4YZnxznNoiVEnUoDJ.jpg,,TAGGED
2012,TMDB-771,나 홀로 집에,1990-11-16,https://image.tmdb.org/t/p/w500/vqe3WPiHAgCiAHXGVHSJPDG9OgO.jpg,,TAGGED
2026,TMDB-1858,트랜스포머,2007-06-27,https://image.tmdb.org/t/p/w500/xxj02oRohOlb8jhMh7UKR7yCucb.jpg,,TAGGED
2053,TMDB-36657,엑스맨,2000-07-13,https://image.tmdb.org/t/p/w500/52WAloOg0Y55syYZLcOtm9xUL9h.jpg,,TAGGED
1511,TMDB-222935,"안녕, 헤이즐",2014-06-02,https://image.tmdb.org/t/p/w500/5MdllYBVC9qomummBQSCPWrTylZ.jpg,,TAGGED
2033,TMDB-2080,엑스맨 탄생: 울버린,2009-04-28,https://image.tmdb.org/t/p/w500/cbCRcWzu2KGUySi0nJFnfKfEP8p.jpg,,TAGGED
