movie_id,movie_cd,title,status,provider_count,link_count,providers,kinolights_url
1894,TMDB-38757,라푼젤,SUCCESS,1,2,Disney+,https://m.kinolights.com/title/44544
2669,TMDB-559,스파이더맨 3,NO_LINK,0,0,,https://m.kinolights.com/title/87462
1579,TMDB-346,7인의 사무라이,SUCCESS,2,2,Wavve / Watcha,https://m.kinolights.com/title/32670
2800,TMDB-453395,닥터 스트레인지: 대혼돈의 멀티버스,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/6605
675,20240193,무파사: 라이온 킹,SUCCESS,1,2,Disney+,https://m.kinolights.com/title/114859
370,20151383,마션,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/12229
2673,TMDB-604,매트릭스 2: 리로디드,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/45639
1534,TMDB-106,프레데터,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/60699
1784,TMDB-10193,토이 스토리 3,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/45302
171,20090685,2012,SUCCESS,2,2,Watcha / Coupang Play,https://m.kinolights.com/title/32963
1781,TMDB-10020,미녀와 야수,NO_LINK,0,0,,https://m.kinolights.com/title/125314
2684,TMDB-920,카,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/46938
2663,TMDB-285,캐리비안의 해적: 세상의 끝에서,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/48117
2693,TMDB-1865,캐리비안의 해적: 낯선 조류,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/44471
2329,TMDB-766507,프레이,SUCCESS,1,1,Wavve,https://m.kinolights.com/title/78382
2771,TMDB-284054,블랙 팬서,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/62241
1748,TMDB-4951,내가 널 사랑할 수 없는 10가지 이유,NO_LINK,0,0,,https://m.kinolights.com/title/114375
2349,TMDB-823219,플로우,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/133860
1967,TMDB-205596,이미테이션 게임,NO_LINK,0,0,,https://m.kinolights.com/title/12024
2021,TMDB-333339,레디 플레이어 원,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/62264
2686,TMDB-953,마다가스카,SUCCESS,1,1,Netflix,https://m.kinolights.com/title/45652
1453,20217742,샹치와 텐 링즈의 전설,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/94985
336,20140694,퓨리,SUCCESS,2,2,Watcha / Coupang Play,https://m.kinolights.com/title/17733
1124,20030047,모노노케 히메,SUCCESS,1,1,Netflix,https://m.kinolights.com/title/12319
1194,20040745,인크레더블,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/5488
2732,TMDB-68726,퍼시픽 림,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/32196
5,20040734,노트북,NO_LINK,0,0,,https://m.kinolights.com/title/63358
2798,TMDB-436969,더 수어사이드 스쿼드,SUCCESS,2,2,Coupang Play / Wavve,https://m.kinolights.com/title/78099
2697,TMDB-1930,어메이징 스파이더맨,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/25643
2760,TMDB-209112,배트맨 대 슈퍼맨: 저스티스의 시작,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/9625
2778,TMDB-301528,토이 스토리 4,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/70699
2338,TMDB-791373,잭 스나이더의 저스티스 리그,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/94804
1167,20040670,맨 온 파이어,SUCCESS,3,3,Netflix / Disney+ / Coupang Play,https://m.kinolights.com/title/47008
229,20112173,리얼 스틸,SUCCESS,3,3,Coupang Play / Wavve / Apple TV,https://m.kinolights.com/title/48926
1643,TMDB-694,샤이닝,SUCCESS,3,3,Coupang Play / Wavve / Apple TV,https://m.kinolights.com/title/17365
1574,TMDB-311,원스 어폰 어 타임 인 아메리카,SUCCESS,3,3,TVING / Wavve / Watcha,https://m.kinolights.com/title/11788
2743,TMDB-102382,어메이징 스파이더맨 2,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/23419
658,20234797,헝거게임: 노래하는 새와 뱀의 발라드,SUCCESS,2,2,Wavve / Coupang Play,https://m.kinolights.com/title/109332
1957,TMDB-152601,그녀,SUCCESS,2,2,Wavve / Watcha,https://m.kinolights.com/title/10787
1929,TMDB-68718,장고: 분노의 추적자,SUCCESS,2,2,Watcha / Coupang Play,https://m.kinolights.com/title/24689
740,TMDB-50620,브레이킹 던 Part 2,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/39062
1128,20030191,매트릭스 3: 레볼루션,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/45574
158,20090578,바스터즈: 거친 녀석들,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/46658
1525,TMDB-78,블레이드 러너,SUCCESS,3,3,Coupang Play / Wavve / Apple TV,https://m.kinolights.com/title/17367
2394,TMDB-976573,엘리멘탈,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/112917
289,20127634,메리다와 마법의 숲,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/37703
2782,TMDB-324552,존 윅: 리로드,SUCCESS,2,2,Netflix / Coupang Play,https://m.kinolights.com/title/3979
1995,TMDB-283995,가디언즈 오브 갤럭시 Vol. 2,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/20724
1844,TMDB-19404,용감한 자가 신부를 데려가리,SUCCESS,2,2,Netflix / Prime Video,https://m.kinolights.com/title/30915
2723,TMDB-49521,맨 오브 스틸,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/32924
