"rank","movieCd","movieNm","movieNmEn","movieNmOg","boxOfficeOpenDt","movieInfoOpenDt","prdtYear","showTm","typeNm","prdtStatNm","nationNm","genreNm","directorNm","actorNm","companyNm","auditNo","watchGradeNm","boxOfficeSalesAcc","boxOfficeAudiAcc","boxOfficeScrnCnt","boxOfficeShowCnt"
"36","20126674","설국열차","Snowpiercer","","2013-08-01","20130801","2013","125","장편","개봉","한국 | 체코","SF | 액션","봉준호","크리스 에반스 | 송강호 | 에드 해리스 | 존 허트 | 틸다 스윈튼 | 제이미 벨 | 옥타비아 스펜서 | 이완 브렘너 | 고아성 | 알리슨 필","모호필름 [제작사] | 오퍼스픽쳐스(유) [제작사] | (주)씨제이이엔엠 [배급사] | (주)씨제이이엔엠 [제공] | 유니온투자파트너스(주) [공동제공] | 씨제이엔터테인먼트 [해외세일즈사] | (주)포스크리에이티브파티 [제작서비스-시각효과/특수효과]","2013-MF00330","15세이상관람가","67045274880","9354928","1128","126084"
"37","20126091","관상","The Face Reader","","2013-09-11","20130911","2013","139","장편","개봉","한국","사극 | 드라마","한재림","송강호 | 이정재 | 백윤식 | 조정석 | 이종석 | 김혜수 | 이도엽 | 김의성 | 김강현 | 김태우","(주)주피터필름 [제작사] | (주)쇼박스 [제작사] | (주)쇼박스 [배급사] | (주)쇼박스 [제공] | (주)인터파크 [공동제공] | (주)쇼박스 [해외세일즈사] | 디지털 아이디어 [제작서비스-후반작업] | (사)한국농아인협회 [가치봄 제작처] | 한국시각장애인연합회 [가치봄 제작처]","2013-MF00567 ","15세이상관람가","66007939000","9135529","1240","125102"
"38","20121621","아이언맨 3","Iron Man 3","","2013-04-25","20130425","2013","130","장편","개봉","미국","액션 | 어드벤처 | SF","쉐인 블랙","로버트 다우니 주니어 | 기네스 팰트로우 | 벤 킹슬리 | 가이 피어스 | 레베카 홀 | 폴 베타니 | 존 파브로","파라마운트 픽쳐스 [제작사] | 소니픽쳐스릴리징월트디즈니스튜디오스코리아(주) [배급사] | 소니픽쳐스릴리징월트디즈니스튜디오스코리아(주) [수입사]","2013-MF00107  | 2013-MF00120 ","12세이상관람가 | 12세이상관람가","70853737320","9006173","1389","164372"
"39","20235974","인사이드 아웃 2","Inside Out 2","","2024-06-12","20240612","2024","96","장편","개봉","미국","애니메이션","켈시 만","에이미 포엘러 | 토니 헤일","월트 디즈니 픽쳐스 [제작사] | 픽사 애니메이션 스튜디오 [제작사] | 월트디즈니컴퍼니코리아 유한책임회사 [배급사] | 월트디즈니컴퍼니코리아 유한책임회사 [수입사]","2024-MF01445 ","전체관람가","84514151036","8799611","2619","331362"
"40","20159364","캡틴 아메리카: 시빌 워","Captain America: Civil War","","2016-04-27","20160427","2015","147","장편","개봉","미국","액션 | SF | 스릴러","안소니 루소 | 조 루소","크리스 에반스 | 로버트 다우니 주니어 | 스칼렛 요한슨 | 세바스찬 스탠 | 안소니 마키 | 돈 치들 | 제레미 레너 | 톰 홀랜드","월트디즈니컴퍼니코리아 유한책임회사 [배급사] | 월트디즈니컴퍼니코리아(주) [배급사] | 월트디즈니컴퍼니코리아(주) [수입사]","2016-MF00537  | 2016-MF00593 ","12세이상관람가 | 12세이상관람가","72686676527","8678761","1991","161744"
"41","20136064","해적: 바다로 간 산적","The Pirates","","2014-08-06","20140806","2014","129","장편","개봉","한국","어드벤처","이석훈","김남길 | 손예진 | 신정근 | 유해진 | 이경영 | 오달수 | 김태우 | 박철민 | 김원해 | 조달환","(주)하리마오픽쳐스 [제작사] | 롯데쇼핑㈜롯데엔터테인먼트 [배급사] | 롯데쇼핑㈜롯데엔터테인먼트 [제공] | 롯데쇼핑㈜롯데엔터테인먼트 [해외세일즈사]","2014-MF00739 ","12세이상관람가","66372140706","8666208","910","133354"
"42","20131102","수상한 그녀","Miss Granny","","2014-01-22","20140122","2013","124","장편","개봉","한국","드라마","황동혁","심은경 | 나문희 | 박인환 | 성동일 | 이진욱 | 김현숙 | 황정민 | 김슬기 | 박형우 | 진영","(주)예인플러스엔터테인먼트 [제작사] | 아이앤코스모스(주)시네와이즈필름 [제작사] | (주)씨제이이엔엠 [배급사] | (주)씨제이이엔엠 [제공] | 씨제이엔터테인먼트 [해외세일즈사] | (사)한국농아인협회 [가치봄 제작처] | 한국시각장애인연합회 [가치봄 제작처]","2014-MF00005 ","15세이상관람가","62755951849","8665781","1027","137070"
"43","20252432","주토피아 2","Zootopia 2","","2025-11-26","20251126","2025","108","장편","개봉","미국","애니메이션","재러드 부시 | 바이론 하워드","지니퍼 굿윈 | 제이슨 베이트먼 | 키 호이 콴","월트디즈니컴퍼니코리아 유한책임회사 [배급사] | 월트디즈니컴퍼니코리아 유한책임회사 [수입사]","2025-MF03006","전체관람가","82879095200","8611213","2383","274653"
"44","20192206","백두산","ASHFALL","","2019-12-19","20191219","2019","128","장편","개봉","한국","어드벤처 | 드라마","김병서 | 이해준","이병헌 | 하정우 | 마동석 | 전혜진 | 배수지 | 이상원 | 옥자연 | 한수현 | 강신철 | 이경영","주식회사 덱스터 픽쳐스 [제작사] | (주)퍼펙트스톰필름 [제작사] | (주)씨제이이엔엠 [제작사] | (주)씨제이이엔엠 [배급사] | (주)덱스터스튜디오 [배급사] | (주)씨제이이엔엠 [제공] | (주)덱스터스튜디오 [제공] | 씨제이엔터테인먼트 [해외세일즈사] | (사)한국농아인협회 [가치봄 제작처] | 한국시각장애인연합회 [가치봄 제작처]","2019-MF02544","12세이상관람가","69832288800","8253570","1971","174507"
"45","20194376","탑건: 매버릭","Top Gun: Maverick","","2022-06-22","20220622","2021","130","장편","개봉","미국","액션","조셉 코신스키","톰 크루즈 | 마일즈 텔러 | 제니퍼 코넬리 | 존 햄 | 에드 해리스 | 글렌 파월 | 제이 엘리스 | 그렉 타잔 데이비스 | 찰스 파렐 | 장 루이자 켈리","롯데컬처웍스(주)롯데엔터테인먼트 [배급사] | 롯데컬처웍스(주)롯데엔터테인먼트 [수입사] | 파라마운트 픽쳐스 [제공]","2022-MF01001 ","12세이상관람가","88537436194","8249445","1975","253570"
